epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.243,1.66857,3.33679,1.26311,0.3033,0.39802,0.30395,0.18305,1.41846,2.05721,1.15846,0.000277488,0.000277488,0.000277488
2,346.707,1.5092,2.29544,1.18257,0.55657,0.39833,0.41208,0.24622,1.36413,1.80673,1.14332,0.000544162,0.000544162,0.000544162
3,526.059,1.46376,2.01323,1.15581,0.44775,0.41872,0.43202,0.25893,1.37098,1.6482,1.15238,0.000799841,0.000799841,0.000799841
