timestamp,frame,tracker_id,speed_kmh
1756456016.3271675,12,1,1051.333
1756456016.3271675,12,2,2167.215
1756456016.3271675,12,3,1035.951
1756456016.3271675,12,4,621.673
1756456016.7123563,13,1,1099.795
1756456016.7123563,13,2,2112.085
1756456016.7123563,13,3,1083.021
1756456016.7123563,13,4,637.751
1756456017.0542603,14,1,1135.767
1756456017.055258,14,2,2054.236
1756456017.055258,14,3,1098.829
1756456017.055258,14,4,664.651
1756456017.4344003,15,1,1170.992
1756456017.4344003,15,2,1995.918
1756456017.4344003,15,3,1164.557
1756456017.4344003,15,4,701.435
1756456017.7916155,16,1,1197.829
1756456017.7916155,16,2,1941.425
1756456017.7916155,16,3,1218.885
1756456017.7916155,16,4,725.069
1756456018.153781,17,1,1257.774
1756456018.153781,17,2,1881.961
1756456018.153781,17,3,1291.152
1756456018.153781,17,4,741.250
1756456018.4833193,18,1,1300.636
1756456018.4833193,18,2,1839.590
1756456018.4833193,18,3,1354.381
1756456018.4833193,18,4,770.523
1756456018.8738997,19,1,1345.086
1756456018.8738997,19,2,1797.199
1756456018.8738997,19,3,1432.828
1756456018.8738997,19,4,814.933
1756456019.2327251,20,1,1403.559
1756456019.2327251,20,2,1749.961
1756456019.2327251,20,3,1496.168
1756456019.2327251,20,4,858.856
1756456019.6744356,21,1,1459.434
1756456019.6744356,21,2,1704.485
1756456019.6744356,21,3,1571.209
1756456019.6744356,21,4,878.420
1756456020.1200054,22,1,1503.284
1756456020.1200054,22,2,1666.981
1756456020.1200054,22,3,1678.170
1756456020.1200054,22,4,908.580
1756456020.4451244,23,1,1556.045
1756456020.4451244,23,2,1627.605
1756456020.4451244,23,3,1805.059
1756456020.4451244,23,4,960.600
1756456020.8539872,24,1,1626.547
1756456020.8539872,24,2,1591.624
1756456020.8539872,24,3,1929.261
1756456020.8539872,24,4,994.654
1756456020.8539872,24,7,5.858
1756456021.243159,25,1,1720.847
1756456021.243159,25,2,1554.786
1756456021.243159,25,3,2056.909
1756456021.243159,25,4,1030.157
1756456021.243159,25,7,19.866
1756456021.6266253,26,1,1861.666
1756456021.6266253,26,2,1440.242
1756456021.6266253,26,3,2280.974
1756456021.6266253,26,4,1099.874
1756456021.6266253,26,7,25.200
1756456022.0166204,27,1,2017.702
1756456022.0166204,27,2,1353.213
1756456022.0166204,27,3,2500.570
1756456022.0166204,27,4,1218.803
1756456022.0166204,27,7,31.239
1756456022.3743572,28,1,2160.806
1756456022.3743572,28,2,1256.667
1756456022.3743572,28,3,2784.494
1756456022.3743572,28,4,1310.756
1756456022.3743572,28,7,34.291
1756456022.7867372,29,1,2340.249
1756456022.7867372,29,2,1173.115
1756456022.7867372,29,3,3189.762
1756456022.7867372,29,4,1411.542
1756456022.7867372,29,7,35.035
1756456023.1463675,30,1,2531.625
1756456023.1463675,30,2,1086.409
1756456023.1463675,30,3,3612.004
1756456023.1463675,30,4,1520.189
1756456023.1463675,30,7,34.347
1756456023.489574,31,1,2733.566
1756456023.489574,31,2,1018.955
1756456023.489574,31,3,4186.029
1756456023.489574,31,4,1629.252
1756456023.489574,31,7,33.766
1756456023.8300157,32,1,2918.360
1756456023.8300157,32,2,956.409
1756456023.8300157,32,3,4782.356
1756456023.8300157,32,4,1702.410
1756456023.8300157,32,7,32.787
1756456024.1381302,33,1,3196.509
1756456024.1381302,33,2,897.993
1756456024.1381302,33,3,5784.826
1756456024.1381302,33,4,1844.843
1756456024.4815075,34,1,3614.512
1756456024.4815075,34,2,845.489
1756456024.4815075,34,3,7113.828
1756456024.4815075,34,4,2072.871
1756456024.8695662,35,1,4052.885
1756456024.8695662,35,2,805.298
1756456024.8695662,35,3,9054.824
1756456024.8695662,35,4,2343.132
1756456024.8695662,35,8,33.048
1756456025.261164,36,1,4534.256
1756456025.261164,36,2,753.877
1756456025.261164,36,3,11987.497
1756456025.261164,36,4,2428.010
1756456025.261164,36,8,33.001
1756456025.6560209,37,1,5062.569
1756456025.6560209,37,2,712.834
1756456025.6560209,37,3,16726.961
1756456025.6560209,37,4,2695.310
1756456025.6560209,37,8,34.320
1756456026.0267036,38,1,5607.283
1756456026.0267036,38,2,677.407
1756456026.0267036,38,3,29232.389
1756456026.0267036,38,4,2960.958
1756456026.0267036,38,8,35.202
1756456026.3569102,39,1,6445.793
1756456026.3569102,39,2,644.589
1756456026.3569102,39,3,107082.125
1756456026.3569102,39,4,3334.021
1756456026.3569102,39,8,35.724
1756456026.6479163,40,1,7781.631
1756456026.6479163,40,2,613.590
1756456026.6479163,40,3,105783.336
1756456026.6479163,40,4,3835.508
1756456026.6479163,40,8,36.220
1756456026.9383402,41,1,9454.424
1756456026.9383402,41,2,592.380
1756456026.9383402,41,3,34879.543
1756456026.9383402,41,4,4427.339
1756456026.9383402,41,8,36.029
1756456027.3353689,42,1,11592.228
1756456027.3353689,42,2,561.403
1756456027.3353689,42,3,21212.836
1756456027.3353689,42,4,5296.875
1756456027.3353689,42,8,36.419
1756456027.7081902,43,1,14547.760
1756456027.7081902,43,2,534.399
1756456027.7081902,43,3,16095.411
1756456027.7081902,43,4,6518.408
1756456027.7081902,43,8,36.360
1756456028.0284832,44,1,18974.805
1756456028.0284832,44,2,512.752
1756456028.0284832,44,3,13062.344
1756456028.0284832,44,4,8255.938
1756456028.0284832,44,8,36.299
1756456028.3979468,45,1,26240.600
1756456028.3979468,45,2,492.579
1756456028.3979468,45,3,11166.641
1756456028.3979468,45,4,10890.274
1756456028.3979468,45,8,35.482
1756456028.7421257,46,1,49132.410
1756456028.7421257,46,2,469.594
1756456028.7421257,46,3,9928.487
1756456028.7421257,46,4,16023.997
1756456028.7421257,46,8,35.221
1756456029.1805272,47,1,205013.312
1756456029.1805272,47,2,451.716
1756456029.1805272,47,3,9162.204
1756456029.1805272,47,4,28526.994
1756456029.1805272,47,8,35.148
1756456029.1805272,47,9,51312.930
1756456029.6298606,48,1,125127.688
1756456029.6308606,48,2,435.574
1756456029.6308606,48,3,8668.048
1756456029.6308606,48,4,79776.766
1756456029.6308606,48,8,35.270
1756456029.6308606,48,9,38171.316
1756456029.9945116,49,1,51488.977
1756456029.9945116,49,2,420.355
1756456029.9945116,49,3,8593.232
1756456029.9955118,49,4,95975.797
1756456029.9955118,49,8,35.289
1756456029.9955118,49,9,30382.051
1756456030.3737638,50,1,33081.918
1756456030.3737638,50,2,405.835
1756456030.3747637,50,3,8744.269
1756456030.3747637,50,4,31868.789
1756456030.3747637,50,8,34.923
1756456030.3747637,50,9,25391.168
1756456030.7516427,51,1,24647.309
1756456030.7516427,51,2,385.669
1756456030.7516427,51,3,8971.358
1756456030.7516427,51,4,20344.932
1756456030.7516427,51,8,35.043
1756456030.7516427,51,9,21538.654
1756456031.1429052,52,1,20105.100
1756456031.1429052,52,2,373.850
1756456031.1429052,52,3,9273.419
1756456031.1429052,52,4,15248.857
1756456031.1429052,52,8,34.774
1756456031.1429052,52,9,18859.311
1756456031.514543,53,1,17361.637
1756456031.514543,53,2,357.730
1756456031.514543,53,3,9756.313
1756456031.514543,53,4,12415.229
1756456031.514543,53,8,34.854
1756456031.514543,53,9,16761.320
1756456031.8636534,54,1,15674.590
1756456031.8636534,54,2,342.952
1756456031.8636534,54,3,10256.977
1756456031.8636534,54,4,10740.159
1756456031.8636534,54,8,35.094
1756456031.8636534,54,9,15163.052
1756456032.2161415,55,1,14502.896
1756456032.2161415,55,2,336.007
1756456032.2161415,55,3,10879.427
1756456032.2161415,55,4,9593.117
1756456032.2161415,55,8,34.664
1756456032.2161415,55,9,13778.180
1756456032.6206117,56,1,13376.112
1756456032.6216116,56,2,325.002
1756456032.6216116,56,4,8809.367
1756456032.6216116,56,8,34.420
1756456032.6216116,56,9,12687.988
1756456032.9954195,57,1,12849.226
1756456032.9954195,57,2,314.304
